大ジャンル,販売カテゴリ,商品カテゴリ,商品名,ミルクカスタム,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ソイ チャイ ティー ラテ（ホット）,,212.0,6.4,7.5,30.2,0.4,0.5,29.7,120.0,345.0,0.0,1.1,53.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ソイ チャイ ティー ラテ（アイス）,,194.0,5.3,6.2,29.4,0.3,0.5,28.9,100.0,296.0,0.0,0.9,53.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,メルティホワイト ピスタチオ フラペチーノ®,ミルク,462.0,6.6,27.4,47.3,0.6,0.2,47.1,243.0,202.0,0.1,9.7,0.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,メルティホワイト ピスタチオ フラペチーノ®,低脂肪タイプ,450.0,6.6,25.9,47.6,0.7,0.2,47.4,267.0,220.0,0.1,8.8,0.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,メルティホワイト ピスタチオ フラペチーノ®,無脂肪乳,438.0,6.6,24.4,47.9,0.8,0.2,47.7,292.0,238.0,0.1,7.9,0.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,メルティホワイト ピスタチオ フラペチーノ®,豆乳（調製豆乳）,458.0,6.4,28.0,45.1,0.7,0.4,44.7,262.0,209.0,0.1,8.4,0.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,メルティホワイト ピスタチオ フラペチーノ®,アーモンドミルク,442.0,3.7,28.0,44.7,0.7,1.7,43.0,278.0,75.0,0.1,10.2,0.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,メルティホワイト ピスタチオ フラペチーノ®,オーツミルク,459.0,4.3,27.4,48.9,0.7,0.6,48.3,261.0,91.0,0.1,8.1,0.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,メルティホワイト ピスタチオ フラペチーノ®,ブレべ,608.0,5.6,44.0,47.2,0.6,0.2,47.0,247.0,168.0,0.3,20.4,0.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,メルティホワイト ピスタチオ モカ（ホット）,ミルク,368.0,12.0,17.3,41.5,0.4,0.4,41.1,190.0,620.0,0.3,11.0,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,メルティホワイト ピスタチオ モカ（ホット）,低脂肪タイプ,332.0,12.0,12.8,42.5,0.6,0.4,42.1,265.0,675.0,0.2,8.3,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,メルティホワイト ピスタチオ モカ（ホット）,無脂肪乳,296.0,12.0,8.2,43.4,0.8,0.4,43.0,340.0,730.0,0.1,5.6,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,メルティホワイト ピスタチオ モカ（ホット）,豆乳（調製豆乳）,356.0,11.4,19.2,34.8,0.7,1.0,33.9,249.0,642.0,0.0,6.9,80.0
