New log file created.2024-03-01 19:12:09,773 - INFO - Scraping the list page.
2024-03-01 19:12:09,994 - INFO - Successfully retrieved the list of data.
2024-03-01 19:12:16,194 - INFO - Scraping the list page.
2024-03-01 19:12:16,403 - INFO - Successfully retrieved the list of data.
2024-03-01 19:12:19,042 - INFO - Scraping the list page.
2024-03-01 19:12:19,168 - INFO - Successfully retrieved the list of data.
2024-03-01 19:12:21,432 - INFO - Scraping the list page.
2024-03-01 19:12:21,491 - INFO - Successfully retrieved the list of data.
2024-03-01 19:12:23,272 - INFO - Scraping the list page.
2024-03-01 19:12:23,414 - INFO - Successfully retrieved the list of data.
2024-03-01 19:12:25,336 - INFO - Scraping the list page.
2024-03-01 19:12:25,358 - INFO - Successfully retrieved the list of data.
2024-03-01 19:12:26,819 - INFO - Scraping the list page.
2024-03-01 19:12:26,846 - INFO - Successfully retrieved the list of data.
2024-03-01 19:12:29,667 - INFO - Scraping the list page.
2024-03-01 19:12:29,853 - INFO - Successfully retrieved the list of data.
