商品名,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン
メルティホワイト ピスタチオ フラペチーノ®,462.0,6.6,27.4,47.3,0.6,0.2,47.1,243.0,202.0,0.1,9.7,0.0
エスプレッソ  アフォガート フラペチーノ®,438.0,4.2,28.5,41.7,0.5,0.7,41.0,189.0,433.0,0.4,18.2,160.0
コーヒー フラペチーノ®,183.0,3.3,2.9,36.0,0.4,0.1,35.9,173.0,268.0,0.1,1.7,86.0
ダーク モカ チップ フラペチーノ®,312.0,4.5,12.9,44.7,0.5,2.1,42.5,200.0,552.0,0.1,8.3,98.0
キャラメル フラペチーノ®,302.0,3.7,12.0,44.9,0.5,0.1,44.8,192.0,289.0,0.2,7.5,86.0
抹茶 クリーム フラペチーノ®,322.0,5.3,12.7,47.1,0.5,0.9,46.1,184.0,273.0,0.2,7.8,78.0
バニラ クリーム フラペチーノ®,255.0,4.5,12.4,31.5,0.5,0.1,31.4,184.0,206.0,0.2,7.7,0.0
マンゴー パッション ティー フラペチーノ®,140.0,0.7,0.0,34.4,0.2,1.0,33.4,95.0,209.0,0.0,0.0,0.0
My フルーツ³ フラペチーノ® グレープ ＆ ピーチ,425.0,7.7,15.2,66.6,0.6,,,,,,,
My フルーツ³ フラペチーノ® ストロベリー,360.0,7.9,11.9,57.4,0.6,,,,,,,
