商品名,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン
メルティホワイト ピスタチオ フラペチーノ®,462kcal,6.6g,27.4g,47.3g,0.6g,0.2g,47.1g,243mg,202mg,0.1g,9.7g,0mg
エスプレッソ  アフォガート フラペチーノ®,438kcal,4.2g,28.5g,41.7g,0.5g,0.7g,41.0g,189mg,433mg,0.4g,18.2g,160mg
コーヒー フラペチーノ®,183kcal,3.3g,2.9g,36.0g,0.4g,0.1g,35.9g,173mg,268mg,0.1g,1.7g,86mg
ダーク モカ チップ フラペチーノ®,312kcal,4.5g,12.9g,44.7g,0.5g,2.1g,42.5g,200mg,552mg,0.1g,8.3g,98mg
キャラメル フラペチーノ®,302kcal,3.7g,12.0g,44.9g,0.5g,0.1g,44.8g,192mg,289mg,0.2g,7.5g,86mg
抹茶 クリーム フラペチーノ®,322kcal,5.3g,12.7g,47.1g,0.5g,0.9g,46.1g,184mg,273mg,0.2g,7.8g,78mg
バニラ クリーム フラペチーノ®,255kcal,4.5g,12.4g,31.5g,0.5g,0.1g,31.4g,184mg,206mg,0.2g,7.7g,0mg
マンゴー パッション ティー フラペチーノ®,140kcal,0.7g,0.0g,34.4g,0.2g,1.0g,33.4g,95mg,209mg,0.0g,0.0g,0mg
My フルーツ³ フラペチーノ® グレープ ＆ ピーチ,425kcal,7.7g,15.2g,66.6g,0.6g,-,-,-,-,-,-,-
My フルーツ³ フラペチーノ® ストロベリー,360kcal,7.9g,11.9g,57.4g,0.6g,-,-,-,-,-,-,-
