大ジャンル,商品カテゴリ,商品名,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用,タンパク質_per_エネルギー,食物繊維_per_エネルギー,ナトリウム_per_エネルギー,カリウム_per_エネルギー,脂質_per_エネルギー,食塩相当量_per_エネルギー,糖質_per_エネルギー,トランス脂肪酸_per_エネルギー,飽和脂肪酸_per_エネルギー,カフェイン_per_エネルギー,タンパク質_偏差値,食物繊維_偏差値,ナトリウム_偏差値,カリウム_偏差値,脂質_偏差値,食塩相当量_偏差値,糖質_偏差値,トランス脂肪酸_偏差値,飽和脂肪酸_偏差値,健康偏差値,不健康偏差値,limited,季節のおすすめ,timestamp
ビバレッジ,コーヒー,スイート ミルクコーヒー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785557147/4524785557147_11_s.jpg,image_08b6bb48-d99e-4728-8dfc-4883c9537bf5.png,https://menu.starbucks.co.jp/4524785557147,269.0,4.3,16.4,26.2,0.2,0.3,26.0,72.0,333.0,0.3,10.4,104.0,,0.0159851301115241,0.0011152416356877,0.2676579925650557,1.237918215613383,0.0609665427509293,0.0007434944237918,0.0966542750929368,0.0011152416356877,0.0386617100371747,0.3866171003717472,45.8,44.9,43.1,46.9,60.1,45.9,44.7,64.4,68.6,45.175,56.74,False,True,2024-05-07
ビバレッジ,コーヒー,ドリップ コーヒー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000018/4524785000018_11_s.jpg,image_4cc04a59-c841-4ac5-b00d-4850f99c2348.png,https://menu.starbucks.co.jp/4524785000018,18.0,1.1,0.0,3.3,0.01,0.7,2.6,6.0,404.0,0.0,0.0,276.0,,0.0611111111111111,0.0388888888888888,0.3333333333333333,22.444444444444443,0.0,0.0005555555555555,0.1444444444444444,0.0,0.0,15.333333333333334,62.1,74.8,44.0,77.6,33.9,45.3,53.5,40.8,34.8,64.625,41.66,False,False,2023-12-29
ビバレッジ,コーヒー,カフェ ミスト,https://asset.menu.starbucks.co.jp/public/sku_images/4524785062870/4524785062870_11_s.jpg,image_9ef57cc4-9f5d-4210-96bc-32c283ceb2f2.png,https://menu.starbucks.co.jp/4524785062870,127.0,7.2,6.3,10.7,0.2,0.4,10.3,81.0,480.0,0.2,3.7,138.0,,0.0566929133858267,0.0031496062992125,0.6377952755905512,3.779527559055118,0.0496062992125984,0.0015748031496062,0.0811023622047244,0.0015748031496062,0.0291338582677165,1.0866141732283463,60.5,46.5,47.9,50.5,55.2,48.4,41.9,74.1,60.3,51.35,55.98,False,False,2023-12-29
ビバレッジ,コーヒー,コールドブリュー コーヒー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785324732/4524785324732_11_s.jpg,image_f2417ac9-1876-4869-a9c1-6c40dcadf41b.png,https://menu.starbucks.co.jp/4524785324732,10.0,0.4,0.0,2.3,0.01,0.6,1.6,5.0,205.0,0.0,0.0,144.0,,0.04,0.06,0.5,20.5,0.0,0.001,0.16,0.0,0.0,14.4,54.5,91.4,46.1,74.7,33.9,46.7,56.3,40.8,34.8,66.675,42.5,False,False,2023-12-29
ビバレッジ,コーヒー,コーヒー プレス,https://asset.menu.starbucks.co.jp/public/sku_images/4524785046856/4524785046856_11_s.jpg,image_56e79928-2687-487e-8d75-90b7e46e8586.png,https://menu.starbucks.co.jp/4524785046856,17.0,1.0,0.0,3.1,0.01,0.7,2.4,5.0,374.0,0.0,0.0,255.0,,0.0588235294117647,0.0411764705882352,0.2941176470588235,22.0,0.0,0.0005882352941176,0.1411764705882353,0.0,0.0,15.0,61.3,76.6,43.5,76.9,33.9,45.4,52.9,40.8,34.8,64.575,41.56,False,False,2023-12-29
ビバレッジ,エスプレッソ,スターバックス ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000223/4524785000223_11_s.jpg,image_4e260e8a-98d1-449b-a761-b46ae59bc495.png,https://menu.starbucks.co.jp/4524785000223,223.0,12.5,11.5,17.7,0.3,0.3,17.4,144.0,635.0,0.3,6.7,80.0,,0.0560538116591928,0.0013452914798206,0.6457399103139013,2.8475336322869955,0.0515695067264574,0.0013452914798206,0.0780269058295964,0.0013452914798206,0.0300448430493273,0.358744394618834,60.3,45.1,48.0,49.2,56.0,47.7,41.3,69.3,61.1,50.65,55.08,False,False,2023-12-29
ビバレッジ,エスプレッソ,ソイ ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785047396/4524785047396_11_s.jpg,image_5cb9a514-348d-4782-a793-334bc0461e3a.png,https://menu.starbucks.co.jp/4524785047396,208.0,11.8,13.8,10.0,0.7,1.0,9.0,213.0,661.0,0.0,2.0,80.0,,0.0567307692307692,0.0048076923076923,1.0240384615384617,3.1778846153846154,0.0663461538461538,0.0033653846153846,0.0432692307692307,0.0,0.0096153846153846,0.3846153846153846,60.5,47.8,52.8,49.7,62.4,53.8,35.0,40.8,43.2,52.7,47.04,False,False,2023-12-29
ビバレッジ,エスプレッソ,アーモンドミルク ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785433106/4524785433106_11_s.jpg,image_894290d2-9bfe-479d-aa06-e20f23688393.png,https://menu.starbucks.co.jp/4524785433106,159.0,2.9,13.4,9.1,0.6,4.5,4.6,234.0,200.0,0.0,0.9,80.0,,0.0182389937106918,0.0283018867924528,1.471698113207547,1.2578616352201255,0.0842767295597484,0.0037735849056603,0.0289308176100628,0.0,0.0056603773584905,0.5031446540880503,46.6,66.4,58.5,46.9,70.1,55.1,32.4,40.8,39.8,54.6,47.64,False,False,2023-12-29
ビバレッジ,エスプレッソ,オーツミルク ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785433021/4524785433021_11_s.jpg,image_b8adf003-3c82-49d9-8ce8-593627bd4e8c.png,https://menu.starbucks.co.jp/4524785433021,213.0,4.7,11.5,23.5,0.5,2.0,21.5,207.0,242.0,0.0,1.2,80.0,,0.0220657276995305,0.0093896713615023,0.971830985915493,1.136150234741784,0.0539906103286385,0.0023474178403755,0.1009389671361502,0.0,0.0056338028169014,0.3755868544600939,48.0,51.5,52.1,46.7,57.1,50.7,45.5,40.8,39.8,49.575,46.78,False,False,2023-12-29
ビバレッジ,エスプレッソ,カプチーノ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000285/4524785000285_11_s.jpg,image_0b0a8035-a2c3-4d35-b992-002f6c403bb1.png,https://menu.starbucks.co.jp/4524785000285,114.0,6.5,5.8,9.4,0.2,0.3,9.1,72.0,380.0,0.2,3.4,80.0,,0.0570175438596491,0.0026315789473684,0.631578947368421,3.333333333333333,0.0508771929824561,0.0017543859649122,0.0798245614035087,0.0017543859649122,0.0298245614035087,0.7017543859649122,60.6,46.1,47.8,49.9,55.7,48.9,41.7,77.9,60.9,51.1,57.02,False,False,2023-12-29
