商品名,長方形画像URL,商品URL,limited,大ジャンル,商品カテゴリ
スイート ミルクコーヒー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785557147/4524785557147_11_s.jpg,https://menu.starbucks.co.jp/4524785557147,False,ビバレッジ,コーヒー
GOHOBI メロン フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785557017/4524785557017_11_s.jpg,https://menu.starbucks.co.jp/4524785557017,False,ビバレッジ,フラペチーノ®
もっとGOHOBI メロン フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785556799/4524785556799_11_s.jpg,https://menu.starbucks.co.jp/4524785556799,False,ビバレッジ,フラペチーノ®
[5月7日スターバックス® リワード会員先行販売]スターバックス ストロベリー フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785461062/4524785461062_11_s.jpg,https://menu.starbucks.co.jp/4524785461062,False,ビバレッジ,フラペチーノ®
ゆず シトラス & パッション ティー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785537170/4524785537170_11_s.jpg,https://menu.starbucks.co.jp/4524785537170,False,ビバレッジ,ティー｜TEAVANA™
抹茶 & クラッシュ ピスタチオミルク ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785568495/4524785568495_11_s.jpg,https://menu.starbucks.co.jp/4524785568495,True,ビバレッジ,ティー｜TEAVANA™
ブルーベリーレアチーズケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785562653/4524785562653_11_s.jpg,https://menu.starbucks.co.jp/4524785562653,False,フード,デザート
クッキー＆クリームシフォンケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785470071/4524785470071_11_s.jpg,https://menu.starbucks.co.jp/4524785470071,False,フード,デザート
マラサダ メロンクリーム,https://asset.menu.starbucks.co.jp/public/sku_images/4524785561397/4524785561397_11_s.jpg,https://menu.starbucks.co.jp/4524785561397,False,フード,ペストリー
アールグレイミルククリームドーナツ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785542624/4524785542624_11_s.jpg,https://menu.starbucks.co.jp/4524785542624,False,フード,ペストリー
宇治抹茶ホワイトチョコスコーン,https://asset.menu.starbucks.co.jp/public/sku_images/4524785561342/4524785561342_11_s.jpg,https://menu.starbucks.co.jp/4524785561342,False,フード,ペストリー
もっちりボール チョコ＆ストロベリーチョコ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785562639/4524785562639_11_s.jpg,https://menu.starbucks.co.jp/4524785562639,False,フード,ペストリー
チョコレートデニッシュ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785561373/4524785561373_11_s.jpg,https://menu.starbucks.co.jp/4524785561373,True,フード,ペストリー
ダブル ハム＆マリボーチーズ 石窯フィローネ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785561793/4524785561793_11_s.jpg,https://menu.starbucks.co.jp/4524785561793,False,フード,サンドイッチ
チキンアラビアータ 石窯フィローネ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785563711/4524785563711_11_s.jpg,https://menu.starbucks.co.jp/4524785563711,False,フード,サンドイッチ
えびアボカド 石窯カンパーニュ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785542631/4524785542631_11_s.jpg,https://menu.starbucks.co.jp/4524785542631,False,フード,サンドイッチ
えびとブロッコリー サラダラップ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785537385/4524785537385_11_s.jpg,https://menu.starbucks.co.jp/4524785537385,False,フード,サンドイッチ
