大ジャンル,販売カテゴリ,商品カテゴリ,商品名,ミルクカスタム,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,ウィンター シナモン ラテ,ミルク,280.0,12.7,11.2,32.9,0.3,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,ウィンター シナモン ラテ,低脂肪タイプ,239.0,12.7,6.1,34.0,0.5,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,ウィンター シナモン ラテ,無脂肪乳,199.0,12.7,1.0,35.1,0.8,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,ウィンター シナモン ラテ,豆乳（調製豆乳）,266.0,12.1,13.4,25.4,0.6,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,ウィンター シナモン ラテ,アーモンドミルク,218.0,3.4,13.1,24.5,0.6,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,ウィンター シナモン ラテ,オーツミルク,270.0,5.1,11.3,38.5,0.5,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,スターバックス リザーブ® オリアート™ ゴールデンフォーム™ コールド ブリュー,,175.0,1.1,13.6,13.6,0.1,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,スターバックス リザーブ® オリアート™ オーツミルク ラテ,ミルク変更なし,320.0,4.9,24.1,23.4,0.5,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,スターバックス リザーブ® オリアート™ オーツミルク ラテ,ミルク,329.0,12.2,24.1,18.1,0.3,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,スターバックス リザーブ® オリアート™ オーツミルク ラテ,低脂肪タイプ,291.0,12.2,19.2,19.1,0.5,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,スターバックス リザーブ® オリアート™ オーツミルク ラテ,無脂肪乳,252.0,12.2,14.3,20.2,0.7,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,スターバックス リザーブ® オリアート™ オーツミルク ラテ,豆乳（調製豆乳）,316.0,11.5,26.2,10.9,0.6,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,スターバックス リザーブ® オリアート™ オーツミルク ラテ,アーモンドミルク,270.0,3.3,25.8,10.1,0.6,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,スターバックス リザーブ® オリアート™ オーツミルク ラテ,オーツミルク,320.0,4.9,24.1,23.4,0.5,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,スターバックス リザーブ® オリアート™ ゴールデン クリーム アイス エスプレッソ,ミルク変更なし,208.0,2.8,16.4,14.2,0.2,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,スターバックス リザーブ® オリアート™ ゴールデン クリーム アイス エスプレッソ,ミルク,210.0,4.7,16.4,12.8,0.1,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,スターバックス リザーブ® オリアート™ ゴールデン クリーム アイス エスプレッソ,低脂肪タイプ,200.0,4.7,15.1,13.1,0.2,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,スターバックス リザーブ® オリアート™ ゴールデン クリーム アイス エスプレッソ,無脂肪乳,189.0,4.7,13.8,13.4,0.3,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,スターバックス リザーブ® オリアート™ ゴールデン クリーム アイス エスプレッソ,豆乳（調製豆乳）,206.0,4.6,17.0,10.9,0.2,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,スターバックス リザーブ® オリアート™ ゴールデン クリーム アイス エスプレッソ,アーモンドミルク,194.0,2.3,16.9,10.6,0.2,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,季節のおすすめ,スターバックス リザーブ® オリアート™ ゴールデン クリーム アイス エスプレッソ,オーツミルク,208.0,2.8,16.4,14.2,0.2,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,カスタマイズ,バニラ ビーン シロップ,,74.0,0.0,0.1,18.1,0.001,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,カスタマイズ,エスプレッソ ショット,,7.0,0.5,0.0,1.4,0.0,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,カスタマイズ,クラフトキャラメル ソース,,115.0,0.7,4.5,18.1,0.2,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,カスタマイズ,アイスクリーム,,201.0,3.3,10.4,23.6,0.5,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,ブリュー メソッド,コーヒー プレス（ホット）,,17.0,1.0,0.0,3.1,0.01,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,ブリュー メソッド,コーヒー プレス（アイス）,,18.0,1.1,0.0,3.6,0.0,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,ブリュー メソッド,クローバー（ホット）,,34.0,2.0,0.0,6.1,0.02,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,ブリュー メソッド,クローバー（アイス）,,25.0,1.5,0.0,5.1,0.0,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,ブリュー メソッド,プアオーバー（ホット）,,21.0,1.3,0.0,3.8,0.01,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,ブリュー メソッド,プアオーバー（アイス）,,16.0,1.0,0.0,3.2,0.0,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,ブリュー メソッド,サイフォン（ホット）,,15.0,0.9,0.0,2.8,0.01,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,コールド ブリュー,ナイトロ コールド ブリュー コーヒー,,17.0,0.7,0.0,3.8,0.02,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,コールド ブリュー,コールドブリューフロート,,208.0,3.6,10.4,25.1,0.5,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,コールド ブリュー,ナイトロ コールドブリューフロート,,215.0,3.9,10.4,26.7,0.5,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,コールド ブリュー,コールド ブリュー コーヒー,,10.0,0.4,0.0,2.2,0.01,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,スターバックス リザーブ® エスプレッソ,シェケラート,,33.0,0.9,0.0,7.8,0.0,,,,,,,
ビバレッジ,STARBUCKS RESERVE® BAR,スターバックス リザーブ® エスプレッソ,シェケラート フレッド,,314.0,8.8,10.9,45.5,0.8,,,,,,,
