大ジャンル,販売カテゴリ,商品カテゴリ,商品名,ミルクカスタム,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン
ビバレッジ,STARBUCKS RESERVE® ROASTERY TOKYO (1F MAIN BAR),季節のおすすめ,バレルエイジド メリー クリーム コーヒー,,127.0,0.8,7.4,14.4,0.04,,,,,,,
ビバレッジ,STARBUCKS RESERVE® ROASTERY TOKYO (1F MAIN BAR),季節のおすすめ,ロースタリー シナモン ラテ,,225.0,2.8,13.6,26.2,0.7,,,,,,,
ビバレッジ,STARBUCKS RESERVE® ROASTERY TOKYO (1F MAIN BAR),季節のおすすめ,クレーム ブリュレ ラテ,ミルク,285.0,11.1,11.4,22.8,0.3,,,,,,,
ビバレッジ,STARBUCKS RESERVE® ROASTERY TOKYO (1F MAIN BAR),季節のおすすめ,クレーム ブリュレ ラテ,低脂肪タイプ,246.0,11.7,6.2,24.1,0.5,,,,,,,
ビバレッジ,STARBUCKS RESERVE® ROASTERY TOKYO (1F MAIN BAR),季節のおすすめ,クレーム ブリュレ ラテ,無脂肪乳,207.0,12.3,0.9,25.5,0.8,,,,,,,
ビバレッジ,STARBUCKS RESERVE® ROASTERY TOKYO (1F MAIN BAR),季節のおすすめ,クレーム ブリュレ ラテ,豆乳（調製豆乳）,272.0,11.7,12.9,16.1,0.6,,,,,,,
ビバレッジ,STARBUCKS RESERVE® ROASTERY TOKYO (1F MAIN BAR),季節のおすすめ,クレーム ブリュレ ラテ,アーモンドミルク,225.0,3.3,12.6,15.3,0.6,,,,,,,
ビバレッジ,STARBUCKS RESERVE® ROASTERY TOKYO (1F MAIN BAR),季節のおすすめ,クレーム ブリュレ ラテ,オーツミルク,225.0,1.5,0.6,36.3,0.3,,,,,,,
ビバレッジ,STARBUCKS RESERVE® ROASTERY TOKYO (1F MAIN BAR),季節のおすすめ,スターバックス リザーブ® オリアート™ ゴールデンフォーム™ コールド ブリュー,,174.0,1.0,13.6,13.4,0.1,,,,,,,
ビバレッジ,STARBUCKS RESERVE® ROASTERY TOKYO (1F MAIN BAR),季節のおすすめ,スターバックス リザーブ® オリアート™ ゴールデン クリーム アイス エスプレッソ,ミルク変更なし,194.0,1.9,13.7,16.2,0.1,,,,,,,
