大ジャンル,販売カテゴリ,商品カテゴリ,商品名,ミルクカスタム,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ほうじ茶 まろやか キャラメル ティー ラテ,ミルク,367.0,13.3,18.3,38.1,0.4,1.0,37.1,184.0,586.0,0.4,11.1,37.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ほうじ茶 まろやか キャラメル ティー ラテ,低脂肪タイプ,326.0,13.3,13.2,39.2,0.7,1.0,38.2,269.0,648.0,0.2,8.1,37.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ほうじ茶 まろやか キャラメル ティー ラテ,無脂肪乳,286.0,13.3,8.0,40.3,0.9,1.0,39.3,355.0,710.0,0.1,5.0,37.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ほうじ茶 まろやか キャラメル ティー ラテ,豆乳（調製豆乳）,353.0,12.6,20.5,30.5,0.8,1.7,28.8,252.0,611.0,0.1,6.5,37.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ほうじ茶 まろやか キャラメル ティー ラテ,アーモンドミルク,304.0,3.9,20.2,29.7,0.7,5.1,24.6,273.0,161.0,0.1,5.5,37.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ほうじ茶 まろやか キャラメル ティー ラテ,オーツミルク,357.0,5.6,18.4,43.8,0.6,2.6,41.1,246.0,202.0,0.1,5.7,37.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ほうじ茶 まろやか キャラメル ティー ラテ,ブレべ,871.0,10.0,76.0,37.8,0.5,1.0,36.8,198.0,468.0,0.8,48.3,37.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ほうじ茶 もちっと ミルク フラペチーノ®,ミルク,382.0,4.8,20.6,44.9,0.4,1.1,43.8,164.0,202.0,0.2,10.8,28.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ほうじ茶 もちっと ミルク フラペチーノ®,低脂肪タイプ,371.0,4.8,19.2,45.2,0.5,1.1,44.1,187.0,219.0,0.2,10.0,28.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ほうじ茶 もちっと ミルク フラペチーノ®,無脂肪乳,360.0,4.8,17.8,45.5,0.5,1.1,44.4,210.0,235.0,0.2,9.2,28.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ほうじ茶 もちっと ミルク フラペチーノ®,豆乳（調製豆乳）,378.0,4.6,21.2,42.9,0.5,1.3,41.6,183.0,209.0,0.2,9.6,28.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ほうじ茶 もちっと ミルク フラペチーノ®,アーモンドミルク,365.0,2.3,21.1,42.7,0.5,2.2,40.5,188.0,88.0,0.2,9.3,28.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ほうじ茶 もちっと ミルク フラペチーノ®,オーツミルク,379.0,2.7,20.6,46.4,0.5,1.5,44.9,181.0,99.0,0.2,9.4,28.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ほうじ茶 もちっと ミルク フラペチーノ®,ブレべ,516.0,3.9,36.0,44.8,0.4,1.1,43.7,168.0,170.0,0.3,20.7,28.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ストロベリー ラベンダー ティー ラテ,ミルク,265.0,5.5,11.2,35.7,0.3,0.0,35.7,127.0,324.0,0.1,7.2,229.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ストロベリー ラベンダー ティー ラテ,低脂肪タイプ,252.0,5.5,9.6,36.1,0.4,0.0,36.0,153.0,343.0,0.1,6.3,229.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ストロベリー ラベンダー ティー ラテ,無脂肪乳,240.0,5.5,8.1,36.4,0.5,0.0,36.4,179.0,362.0,0.1,5.3,229.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ストロベリー ラベンダー ティー ラテ,豆乳（調製豆乳）,260.0,5.3,11.9,33.4,0.4,0.2,33.2,148.0,332.0,0.1,5.8,229.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ストロベリー ラベンダー ティー ラテ,アーモンドミルク,246.0,2.6,11.8,33.2,0.4,1.3,31.9,154.0,195.0,0.1,5.5,229.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ストロベリー ラベンダー ティー ラテ,オーツミルク,262.0,3.2,11.2,37.5,0.4,0.5,36.9,146.0,207.0,0.1,5.6,229.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ストロベリー ラベンダー ティー ラテ,ブレべ,418.0,4.5,28.8,35.6,0.3,0.0,35.6,131.0,288.0,0.3,18.5,229.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ソイ チャイ ティー ラテ（ホット）,,212.0,6.4,7.5,30.2,0.4,0.5,29.7,120.0,345.0,0.0,1.1,53.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ソイ チャイ ティー ラテ（アイス）,,194.0,5.3,6.2,29.4,0.3,0.5,28.9,100.0,296.0,0.0,0.9,53.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ティー（ジョイフルメドレー）,,2.0,0.0,0.0,0.5,0.01,0.0,0.5,4.0,30.0,0.0,0.0,50.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジョイフルメドレー ティー ラテ,ミルク,181.0,6.6,6.3,24.7,0.2,0.0,24.7,85.0,309.0,0.2,3.7,50.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジョイフルメドレー ティー ラテ,低脂肪タイプ,159.0,6.6,3.4,25.3,0.3,0.0,25.3,132.0,344.0,0.1,2.0,50.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジョイフルメドレー ティー ラテ,無脂肪乳,136.0,6.6,0.5,25.9,0.4,0.0,25.9,180.0,379.0,0.0,0.3,50.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジョイフルメドレー ティー ラテ,豆乳（調製豆乳）,174.0,6.2,7.5,20.4,0.4,0.4,20.1,122.0,324.0,0.0,1.1,50.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジョイフルメドレー ティー ラテ,アーモンドミルク,146.0,1.4,7.3,20.0,0.4,2.3,17.7,134.0,73.0,0.0,0.5,50.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジョイフルメドレー ティー ラテ,オーツミルク,176.0,2.3,6.3,27.8,0.3,0.9,26.9,119.0,96.0,0.0,0.6,50.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジョイフルメドレー ティー ラテ,ブレべ,462.0,4.8,38.3,24.5,0.2,0.0,24.5,92.0,244.0,0.4,24.3,50.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（ホット）,ミルク,320.0,11.4,16.3,32.1,0.3,0.4,31.8,138.0,592.0,0.3,9.9,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（ホット）,低脂肪タイプ,284.0,11.4,11.7,33.1,0.5,0.4,32.8,215.0,648.0,0.2,7.1,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（ホット）,無脂肪乳,247.0,11.4,7.0,34.1,0.7,0.4,33.8,293.0,705.0,0.1,4.4,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（ホット）,豆乳（調製豆乳）,308.0,10.8,18.3,25.2,0.6,0.9,24.3,199.0,615.0,0.1,5.7,80.0
