大ジャンル,販売カテゴリ,商品カテゴリ,商品名,ミルクカスタム,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,お酒の使用
フード,STARBUCKS COFFEE,季節のおすすめ,ブラウニー,,206.0,3.0,12.9,20.4,0.1,1.7,18.7,48.0,138.0,0.1,5.6,なし
フード,STARBUCKS COFFEE,季節のおすすめ,４種のクッキーアソートボックス,,975.0,12.5,59.0,100.6,0.4,4.0,96.6,140.0,399.0,0.4,22.2,なし
フード,STARBUCKS COFFEE,季節のおすすめ,オレンジのカスタードタルト,,377.0,5.6,25.2,32.6,0.1,1.4,31.2,56.0,162.0,0.2,11.1,なし
フード,STARBUCKS COFFEE,季節のおすすめ,抹茶クリームドーナツ,,429.0,5.0,26.5,43.4,0.6,1.6,41.8,219.0,67.0,0.1,10.2,なし
フード,STARBUCKS COFFEE,季節のおすすめ,【ドライブスルー店舗】抹茶あんバターサンド,,243.0,6.0,6.5,41.3,0.6,2.5,38.8,238.0,71.0,0.1,3.5,なし
フード,STARBUCKS COFFEE,季節のおすすめ,えびアボカド　サラダラップ,,273.0,7.3,14.7,28.0,2.0,2.9,25.1,798.0,252.0,0.0,2.6,なし
フード,STARBUCKS COFFEE,季節のおすすめ,もっちりボール　アールグレイ＆ハニーミルク,,307.0,8.2,13.8,38.1,0.8,1.2,36.9,315.0,65.0,0.0,2.4,なし
フード,STARBUCKS COFFEE,季節のおすすめ,米粉の抹茶ロールケーキ,,251.0,3.4,12.2,32.4,0.3,0.7,31.7,133.0,149.0,0.0,7.3,なし
フード,STARBUCKS COFFEE,デザート,チョコレートクランブル　ムースケーキ,,371.0,4.2,23.6,36.4,0.1,2.1,34.3,24.0,192.0,0.1,11.8,なし
フード,STARBUCKS COFFEE,デザート,ナッツ＆キャラメルチーズケーキ,,430.0,5.8,29.4,36.4,0.4,1.4,35.0,152.0,121.0,0.2,13.2,なし
フード,STARBUCKS COFFEE,デザート,宇治抹茶シフォンケーキ,,298.0,4.2,19.6,26.5,0.2,0.6,25.9,65.0,101.0,0.1,10.3,なし
フード,STARBUCKS COFFEE,デザート,ホワイトモカケーキ,,302.0,3.9,21.1,24.9,0.2,0.8,24.1,57.0,96.0,0.0,9.0,あり (アルコール分0.2%)
フード,STARBUCKS COFFEE,デザート,ニューヨークチーズケーキ,,414.0,6.6,29.9,30.1,0.7,1.0,29.1,258.0,109.0,0.3,12.8,なし
