大ジャンル,商品カテゴリ,商品名,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用
ビバレッジ,フラペチーノ®,ほうじ茶 もちっと ミルク フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785556560/4524785556560_11_s.jpg,,https://menu.starbucks.co.jp/4524785556560,382kcal,4.8g,20.6g,44.9g,0.4g,1.1g,43.8g,164mg,202mg,0.2g,10.8g,28mg,
ビバレッジ,フラペチーノ®,エスプレッソ  アフォガート フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785344143/4524785344143_11_s.jpg,,https://menu.starbucks.co.jp/4524785344143,438kcal,4.2g,28.5g,41.7g,0.5g,0.7g,41.0g,189mg,433mg,0.4g,18.2g,160mg,
ビバレッジ,フラペチーノ®,コーヒー フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785165731/4524785165731_11_s.jpg,,https://menu.starbucks.co.jp/4524785165731,170kcal,2.6g,2.2g,35.0g,0.4g,0.1g,34.9g,164mg,238mg,0.1g,1.3g,86mg,
ビバレッジ,フラペチーノ®,ダーク モカ チップ フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785166059/4524785166059_11_s.jpg,,https://menu.starbucks.co.jp/4524785166059,341kcal,5.3g,15.2g,45.9g,0.5g,2.1g,43.7g,211mg,585mg,0.2g,9.7g,98mg,
ビバレッジ,フラペチーノ®,キャラメル フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785165816/4524785165816_11_s.jpg,,https://menu.starbucks.co.jp/4524785165816,302kcal,3.7g,12.0g,44.9g,0.5g,0.1g,44.8g,192mg,289mg,0.2g,7.5g,86mg,
ビバレッジ,フラペチーノ®,抹茶 クリーム フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785165892/4524785165892_11_s.jpg,,https://menu.starbucks.co.jp/4524785165892,322kcal,5.3g,12.7g,47.1g,0.5g,0.9g,46.1g,184mg,273mg,0.2g,7.8g,78mg,
ビバレッジ,フラペチーノ®,バニラ クリーム フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785165939/4524785165939_11_s.jpg,,https://menu.starbucks.co.jp/4524785165939,255kcal,4.5g,12.4g,31.5g,0.5g,0.1g,31.4g,184mg,206mg,0.2g,7.7g,0mg,
ビバレッジ,フラペチーノ®,マンゴー パッション ティー フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785118751/4524785118751_11_s.jpg,,https://menu.starbucks.co.jp/4524785118751,140kcal,0.7g,0.0g,34.4g,0.2g,1.0g,33.4g,95mg,209mg,0.0g,0.0g,0mg,
ビバレッジ,フラペチーノ®,My フルーツ³ フラペチーノ® グレープ ＆ ピーチ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785517479/4524785517479_11_s.jpg,,https://menu.starbucks.co.jp/4524785517479,425kcal,7.7g,15.2g,66.6g,0.6g,-,-,-,-,-,-,-,
ビバレッジ,フラペチーノ®,My フルーツ³ フラペチーノ® ストロベリー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785479791/4524785479791_11_s.jpg,,https://menu.starbucks.co.jp/4524785479791,360kcal,7.9g,11.9g,57.4g,0.6g,-,-,-,-,-,-,-,
ビバレッジ,フラペチーノ®,和三蜜 アーモンドミルク フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785487345/4524785487345_11_s.jpg,,https://menu.starbucks.co.jp/4524785487345,315kcal,3.0g,18.0g,36.7g,0.6g,,,,,,,,
ビバレッジ,フラペチーノ®,クランチー アーモンド チョコレート フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785324671/4524785324671_11_s.jpg,,https://menu.starbucks.co.jp/4524785324671,472kcal,8.4g,22.4g,60.7g,0.6g,-,-,-,-,-,-,-,
ビバレッジ,フラペチーノ®,ゆず & シトラス ラベンダー セージ ティー フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445543/4524785445543_11_s.jpg,,https://menu.starbucks.co.jp/4524785445543,252kcal,0.3g,0.1g,63.1g,0.2g,-,-,-,-,-,-,-,
ビバレッジ,フラペチーノ®,ストロベリー & パッション ティー フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445550/4524785445550_11_s.jpg,,https://menu.starbucks.co.jp/4524785445550,233kcal,0.3g,5.4g,45.9g,0.04g,-,-,-,-,-,-,-,
ビバレッジ,フラペチーノ®,和三蜜 抹茶 フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445581/4524785445581_11_s.jpg,,https://menu.starbucks.co.jp/4524785445581,303kcal,6.1g,12.7g,42.3g,0.1g,-,-,-,-,-,-,-,
ビバレッジ,フラペチーノ®,和三蜜 ほうじ茶 フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445598/4524785445598_11_s.jpg,,https://menu.starbucks.co.jp/4524785445598,304kcal,5.6g,12.8g,42.6g,0.1g,-,-,-,-,-,-,-,
ビバレッジ,フラペチーノ®,ジョイフルメドレー ティー  ラテ フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785526518/4524785526518_11_s.jpg,,https://menu.starbucks.co.jp/4524785526518,284kcal,2.5g,6.2g,55.5g,0.1g,-,-,-,-,-,-,-,
ビバレッジ,フラペチーノ®,My フルーツ³ フラペチーノ® オレンジ & パッションフルーツ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785546974/4524785546974_11_s.jpg,,https://menu.starbucks.co.jp/4524785546974,399kcal,8.2g,15.2g,59.1g,0.6g,-,-,-,-,-,-,-,
ビバレッジ,コーヒー,ドリップ コーヒー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000018/4524785000018_11_s.jpg,,https://menu.starbucks.co.jp/4524785000018,18kcal,1.1g,0.0g,3.3g,0.01g,0.7g,2.6g,6mg,404mg,0.0g,0.0g,276mg,
